This is for Time Step h = 0.1
x	y (Euler)	y (midpoint)	y (RK44)	EXACT		%Err(E)		%Err(M)		%Err(RK4)
----	----------	----------	----------	----------	-------		-------		------
0	0	0	0	0	-nan(ind)%	-nan(ind)%	-nan(ind)%
7.1	93.16508987	-25.2554508	-28.16508549	-28.16462716	-4.307875845%	-0.1032918469%	-1.627303203e-05%
7.15	93.41179262	-30.13879225	-33.17107053	-33.17058733	-3.816103064%	-0.09140010245%	-1.456715709e-05%
7.2	95.6156447	-33.13485279	-36.29786151	-36.29735499	-3.634231743%	-0.08712762138%	-1.395456518e-05%
7.25	100.1330495	-33.94385596	-37.24777751	-37.24724938	-3.688334071%	-0.08868825131%	-1.417903643e-05%
7.3	107.2096123	-32.39096254	-35.84804421	-35.84749611	-3.990714107%	-0.09642329172%	-1.528963494e-05%
7.35	116.9596397	-28.44390757	-32.06832292	-32.06775628	-4.647266077%	-0.1130059953%	-1.767010808e-05%
7.4	129.3530923	-22.22235998	-26.02996693	-26.02938275	-5.96950287%	-0.1462586647%	-2.244325763e-05%
7.45	144.2112152	-13.99797763	-18.00598497	-18.00538366	-9.009338649%	-0.2225671002%	-3.339639695e-05%
7.5	161.211575	-4.184677029	-8.411237749	-8.410618979	-20.16762314%	-0.5024531441%	-7.35701171e-05%
7.55	179.9026636	6.680757305	2.217002021	2.217639421	80.12349645%	2.012553458%	0.0002874224868%
7.6	199.7276234	17.96697091	13.24736839	13.24802651	14.07602836%	0.3561997997%	4.967685656e-05%
7.65	220.0560347	28.98387934	23.99023157	23.99091344	8.172474207%	0.2081190409%	2.842194496e-05%
7.7	240.2221371	39.0241292	33.73911589	33.73982544	6.119839359%	0.1566191791%	2.102984367e-05%
7.75	259.5673556	47.40779877	41.81532608	41.81606804	5.207359223%	0.1337220594%	1.774327848e-05%
7.8	277.4846182	53.52762619	47.61307275	47.61385252	4.827812779%	0.1242027972%	1.637694586e-05%
7.85	293.4617062	56.89188008	50.64221712	50.64304059	4.794709457%	0.1233898956%	1.626033473e-05%
7.9	307.1208014	57.16199152	50.56576058	50.56663391	5.073586032%	0.1304290418%	1.727084807e-05%
7.95	318.2514906	54.18225552	47.22939569	47.23032505	5.738287113%	0.1471920946%	1.967721851e-05%
8	326.834774	47.99928339	40.68080878	40.68180013	7.03393097%	0.1798711767%	2.436835783e-05%
8.05	333.0560716	38.8694277	31.17696588	31.17802471	9.682398087%	0.2466930814%	3.396079272e-05%
8.1	337.3058339	27.25308564	19.17829668	19.17942782	16.58685593%	0.4209540501%	5.897646487e-05%
8.15	340.1670844	13.79557456	5.329479248	5.330686667	62.81299552%	1.587954502%	0.0002265034515%
8.2	342.3900324	-0.7048768603	-9.572624178	-9.571337455	-36.77243348%	-0.9263554479%	-0.0001344350279%
8.25	344.8547335	-15.34062142	-24.62247447	-24.62110643	-15.00646776%	-0.3769320861%	-5.556354623e-05%
8.3	348.5235939	-29.14735824	-38.85859129	-38.85714093	-9.969357642%	-0.2498841257%	-3.732563691e-05%
8.35	354.3862635	-41.1632473	-51.32259468	-51.32106186	-7.905279249%	-0.1979268196%	-2.986733586e-05%
8.4	363.4000805	-50.49089274	-61.12107403	-61.11945935	-6.94573454%	-0.1738982432%	-2.64184063e-05%
8.45	376.4296828	-56.35835063	-67.48644589	-67.48475045	-6.577996218%	-0.1648728008%	-2.512337767e-05%
8.5	394.1896361	-58.17518278	-69.83282996	-69.83105503	-6.64490449%	-0.1669153108%	-2.541741775e-05%
8.55	417.1939382	-55.57969302	-67.80309	-67.80123675	-7.153190682%	-0.180255469%	-2.733364196e-05%
8.6	445.716008	-48.47385214	-61.30355786	-61.30162694	-8.270867516%	-0.2092566778%	-3.149872107e-05%
8.65	479.762283	-37.04303126	-50.52357303	-50.52156426	-10.49618821%	-0.2667877212%	-3.97607027e-05%
8.7	519.0618309	-21.75849373	-35.93780124	-35.93571326	-15.44417778%	-0.394516158%	-5.810323637e-05%
8.75	563.073474	-3.361601047	-18.29029972	-18.2881297	-31.78901359%	-0.8161867232%	-0.000118656964%
8.8	611.0108748	17.17018817	1.439580613	1.441837177	422.7724513%	10.90854866%	0.001565061237%
8.85	661.8848991	38.67427058	22.08819175	22.09054122	28.96236681%	0.7507162997%	0.0001063563073%
8.9	714.5614233	59.8683904	42.37306675	42.37551737	15.86260057%	0.4128061227%	5.783104428e-05%
8.95	767.8316674	79.4272004	60.96940577	60.97196763	11.59319155%	0.3026838969%	4.201708344e-05%
9	820.4911787	96.06552967	76.5932094	76.59589429	9.711947243%	0.2541864098%	3.505274265e-05%
9.05	871.4228349	108.6233407	88.08604727	88.08886843	8.892542048%	0.2331108644%	3.202638595e-05%
9.1	919.6787408	116.1469924	94.49608737	94.49905918	8.732147058%	0.2290809391%	3.144796917e-05%
9.15	964.5557022	117.9613876	95.14997704	95.15311457	9.136879981%	0.2397007506%	3.297350031e-05%
9.2	1005.659101	113.7278921	89.71047798	89.71379662	10.20963708%	0.2676744979%	3.699144219e-05%
9.25	1042.95048	103.4835678	78.21541402	78.21892899	12.33373511%	0.3229990373%	4.493766518e-05%
9.3	1076.774946	87.65823432	61.09446542	61.09819136	16.62367956%	0.4347107888%	6.09826577e-05%
9.35	1107.865627	67.06712637	39.16159269	39.16554319	27.28674228%	0.7124012818%	0.0001008669483%
9.4	1137.323703	42.87836693	13.58232804	13.58651544	82.70974211%	2.155950261%	0.0003082022593%
9.45	1166.574106	16.55606138	-14.18324767	-14.17881262	-83.2758673%	-2.167662047%	-0.0003127940663%
9.5	1197.298465	-10.2185735	-42.45941781	-42.45472598	-29.20177112%	-0.7593065728%	-0.0001105137032%
9.55	1231.348509	-35.64409226	-69.45167345	-69.44671732	-18.73083821%	-0.48674187%	-7.136591821e-05%
9.6	1270.644489	-57.90840028	-93.35617117	-93.35094466	-14.61147971%	-0.379669906%	-5.598780899e-05%
9.65	1317.064435	-75.30462415	-112.475404	-112.4699022	-12.71037238%	-0.3304464332%	-4.891858429e-05%
9.7	1372.330922	-86.34613427	-125.3329559	-125.3271744	-11.94998693%	-0.3110342217%	-4.613135566e-05%
9.75	1437.902528	-89.87326894	-130.7799038	-130.7738385	-11.99533779%	-0.3127580409%	-4.63802283e-05%
9.8	1514.877249	-85.14446194	-128.0855874	-128.0792336	-12.82765704%	-0.335220398%	-4.960832866e-05%
9.85	1603.914719	-71.90510542	-117.0061018	-116.9994537	-14.70873682%	-0.3854235797%	-5.682182533e-05%
9.9	1705.183242	-50.42857167	-97.82495858	-97.81800842	-18.43220159%	-0.4844653609%	-7.105198682e-05%
9.95	1818.336341	-21.5253241	-71.3618719	-71.35460946	-26.48309569%	-0.6983330964%	-0.0001017795138%
10	1942.521883	13.48210621	-38.94746894	-38.93988091	-50.88515213%	-1.346228748%	-0.0001948654193%

This is for Time Step h = 0.5
x	y (Euler)	y (midpoint)	y (RK44)	EXACT		%Err(E)		%Err(M)		%Err(RK4)
----	----------	----------	----------	----------	-------		-------		------
0	0	0	0	0	-nan(ind)%	-nan(ind)%	-nan(ind)%
0.5	2.5	1.249432505	0.7628343855	0.7684534442	2.25328752%	0.6259052698%	0.007312165456%
1	0.986164727	-1.437493846	-1.616611002	-1.580998849	-1.62376056%	-0.09076856891%	-0.02252509743%
1.5	3.0436965	2.738724926	1.99051666	1.985745966	0.5327723441%	0.3791919872%	0.002402469132%
2	5.903675692	-0.272576522	-1.558087801	-1.4788027	-4.992199698%	-0.81567756%	-0.0536143873%
2.5	3.523131988	0.9073791413	-0.2875364592	-0.2314861673	-16.2196221%	-4.919798542%	-0.2421323595%
3	14.04921501	6.483299353	2.812101892	2.914387906	3.820640035%	1.224583536%	0.03509691117%
3.5	11.83351301	-1.995942786	-5.885674248	-5.614340022	-3.10773002%	-0.6444920012%	-0.04832878405%
4	22.31082901	14.28008802	6.526171213	6.745803673	2.307364118%	1.116884617%	0.03255838305%
4.5	39.31814572	7.813325925	-5.283225128	-4.62218308	-9.506401637%	-2.690397327%	-0.1430151156%
5	39.41855503	15.47207427	-2.462245408	-1.612374396	-25.44751983%	-10.59583227%	-0.5270928472%
5.5	89.71923181	44.80885095	9.536558087	10.93795441	7.202560407%	3.096639029%	0.1281223411%
6	103.8875749	27.77660047	-22.54974958	-19.84514567	-6.234911178%	-2.39966725%	-0.136285415%
6.5	168.5382067	105.3717406	19.14928293	22.79531867	6.393544666%	3.622516672%	0.1599466885%
7	277.2658883	121.5581765	-21.21060049	-14.17946262	-20.55404769%	-9.572833806%	-0.4958677245%
7.5	344.6282586	200.4134963	-19.23999693	-8.410618979	-41.97537404%	-24.82862627%	-1.287583943%
8	623.2474869	401.6371541	22.9476953	40.68180013	14.32005676%	8.872649509%	0.4359223233%
8.5	833.6668195	491.62051	-100.560952	-69.83105503	-12.93833917%	-8.040141521%	-0.4400606148%
9	1283.448432	1004.957651	28.82446395	76.59589429	15.75609958%	12.12025482%	0.6236813446%
9.5	2024.243621	1474.593354	-124.6712022	-42.45472598	-48.68005384%	-35.73331461%	-1.936568294%
10	2778.216635	2382.472945	-172.0894553	-38.93988091	-72.3463054%	-62.18336496%	-3.41936265%

This is for Time Step h = 1
x	y (Euler)	y (midpoint)	y (RK44)	EXACT		%Err(E)		%Err(M)		%Err(RK4)
----	----------	----------	----------	----------	-------		-------		------
0	0	0	0	0	-nan(ind)%	-nan(ind)%	-nan(ind)%
1	5	-3.027670546	-3.175159955	-1.580998849	-4.162557648%	-0.9150365281%	-1.00832528%
2	13.12889882	-3.328465071	-6.043489728	-1.4788027	-9.87805981%	-1.250783739%	-3.086745127%
3	15.59303454	3.875489839	-5.346117367	2.914387906	4.350363452%	0.3297783153%	2.834387714%
4	12.70545004	9.569534091	-11.11750527	6.745803673	0.8834598004%	0.418590661%	2.648062382%
5	37.11470448	-9.341589681	-56.92563769	-1.612374396	-24.01866401%	-4.793685203%	-34.30547113%
6	135.4122075	-54.14512059	-188.3936291	-19.84514567	-7.823442356%	-1.728381112%	-8.493184492%
7	296.2381038	-73.73880067	-469.3480766	-14.17946262	-21.89205436%	-4.200394587%	-32.10055459%
8	449.9350599	-43.00737749	-1139.889489	40.68180013	10.05986113%	2.057165055%	29.01964234%
9	697.461298	-142.8264487	-3075.559979	76.59589429	8.105726938%	2.864674993%	41.15306574%
10	1593.064541	-774.2927408	-8675.559239	-38.93988091	-41.91087348%	-18.88431199%	-221.7936767%
